Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
BOCOM - PRUDENCIAL;1000084624;b1;S3;;C;3;SALVADOR;BA;12/2023;1.167.781;211.180;1.378.961;591.587;1.970.548;11.358.732;335.004;0;219.181;0;117.566;671.750;1.252.058;0;13.282.540;28.401.979;8,79%;10,38%;14,84%;332.063;4,86%;0,67%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;;I;3;PORTO ALEGRE;RS;12/2023;1.434.643;0;1.434.643;382.317;1.816.960;12.574.955;3.219;0;0;0;13.176;16.395;517.217;0;13.108.567;15.746.584;10,94%;10,94%;13,86%;327.714;9,11%;2,43%
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;;C;3;SAO PAULO;SP;12/2023;3.256.187;0;3.256.187;0;3.256.187;7.667.639;54.000;0;1.460.050;0;1.843.025;3.357.076;887.290;0;11.912.006;19.789.414;27,34%;27,34%;27,34%;297.800;16,45%;0,41%
CCB - PRUDENCIAL;1000080295;b1;S3;1;C;3;SAO PAULO;SP;12/2023;1.582.632;823.021;2.405.653;0;2.405.653;10.420.893;79.973;0;46.603;0;1.075;127.651;1.310.934;0;11.859.478;14.999.836;13,34%;20,28%;20,28%;296.487;16,04%;0,33%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;;I;2;BLUMENAU;SC;12/2023;2.479.121;0;2.479.121;0;2.479.121;9.679.218;0;0;0;0;0;0;2.180.108;0;11.859.325;15.135.685;20,90%;20,90%;20,90%;296.483;16,38%;1,81%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;1;I;1;BELEM;PA;12/2023;1.772.300;0;1.772.300;0;1.772.300;10.505.647;65.423;0;10.324;0;0;75.747;1.188.490;0;11.769.884;15.969.434;15,06%;15,06%;15,06%;294.247;11,10%;3,33%
AGIBANK - PRUDENCIAL;1000083694;b1;S4;;C;2;CAMPINAS;SP;12/2023;1.269.657;0;1.269.657;298.404;1.568.061;9.758.966;77;0;64.181;0;0;64.258;1.263.212;0;11.086.436;19.437.457;11,45%;11,45%;14,14%;277.161;6,53%;25,19%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;1;C;2;BELO HORIZONTE;MG;12/2023;1.335.256;73.502;1.408.758;469.868;1.878.626;9.751.330;1.953;0;3.158;0;0;5.111;1.304.110;0;11.060.551;20.538.779;12,07%;12,74%;16,98%;276.514;6,86%;22,75%
SCANIA - PRUDENCIAL;1000080776;b2;S4;;C;3;SAO BERNARDO DO CAMPO;SP;12/2023;1.395.414;0;1.395.414;0;1.395.414;10.508.624;0;0;0;0;0;0;171.124;0;10.679.748;12.770.167;13,07%;13,07%;13,07%;266.994;10,93%;0,76%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;;I;3;SAO PAULO;SP;12/2023;2.853.757;0;2.853.757;0;2.853.757;7.079.357;121.112;30;2.088.192;0;353.967;2.563.301;936.728;0;10.579.386;20.077.715;26,97%;26,97%;26,97%;264.485;14,21%;0,93%
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;1;C;3;SAO PAULO;SP;12/2023;1.669.760;0;1.669.760;0;1.669.760;9.243.197;0;0;0;0;0;0;997.165;0;10.240.363;14.592.826;16,31%;16,31%;16,31%;256.009;11,44%;0,05%
GM - PRUDENCIAL;1000080848;b2;S3;;C;3;SAO PAULO;SP;12/2023;2.660.081;0;2.660.081;0;2.660.081;9.617.006;0;0;0;0;0;0;519.828;0;10.136.834;13.915.948;26,24%;26,24%;26,24%;253.421;19,12%;2,33%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;;C;3;SAO PAULO;SP;12/2023;2.575.918;0;2.575.918;0;2.575.918;8.594.138;88.223;0;8.564;0;641.843;738.630;676.615;0;10.009.382;38.242.477;25,74%;25,74%;25,74%;250.235;6,74%;0,45%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;;I;2;BEBEDOURO;SP;12/2023;2.579.101;0;2.579.101;0;2.579.101;8.410.223;0;0;0;0;0;0;1.353.909;0;9.764.132;15.296.238;26,41%;26,41%;26,41%;244.103;16,86%;3,69%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;;C;3;SAO PAULO;SP;12/2023;1.222.459;0;1.222.459;0;1.222.459;8.795.115;0;0;0;0;6.486;6.486;615.171;0;9.416.772;13.663.402;12,98%;12,98%;12,98%;235.419;8,95%;1,97%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;;I;2;SERTAOZINHO;SP;12/2023;1.354.773;0;1.354.773;0;1.354.773;8.371.001;0;0;0;0;0;0;722.480;0;9.093.480;11.981.975;14,90%;14,90%;14,90%;227.337;11,31%;7,63%
PINE - PRUDENCIAL;1000080374;b1;S3;;C;2;SAO PAULO;SP;12/2023;845.134;0;845.134;279.331;1.124.465;7.817.416;14.075;2.025;222.793;450;30.613;269.956;976.913;0;9.064.284;21.315.469;9,32%;9,32%;12,41%;226.607;3,96%;13,38%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;1;C;2;SAO PAULO;SP;12/2023;6.159.218;0;6.159.218;0;6.159.218;4.063.718;0;0;1.682;0;0;1.682;4.790.012;0;8.855.412;7.545.507;69,55%;69,55%;69,55%;442.771;81,63%;0,41%
