Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;03/2013;868.831;280.296;778.524;754.023;90.306;3.635;87.224;15,90%;7,20%;0;34
BANCO MONEO S.A.;7441209;b2;;I;2;CAXIAS DO SUL;RS;03/2013;822.617;762.181;651.356;639.887;171.261;4.795;171.261;18,86%;0,41%;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26565770;b3S;;I;2;LUCAS DO RIO VERDE;MT;03/2013;820.070;505.298;683.597;403.953;136.472;5.521;0;NI%;0,00%;0;11
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;03/2013;819.762;389.089;377.345;314.728;442.417;4.986;292.417;38,70%;16,57%;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;03/2013;817.755;489.517;667.371;500.512;150.383;5.154;138.235;18,91%;16,33%;0;41
BMW;51420;n1;;C;3;SAO PAULO;SP;03/2013;810.835;674.436;637.728;501.272;173.107;3.337;0;NI%;0,00%;2;0
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;03/2013;810.323;460;558.923;506.628;251.400;-9.618;251.400;90,21%;5,19%;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;;I;2;ENCANTADO;RS;03/2013;785.978;257.104;647.058;572.565;138.920;6.423;127.820;21,47%;7,46%;0;20
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;;I;1;FLORIANOPOLIS;SC;03/2013;784.947;668.530;308.922;254.753;476.025;-3.628;76.025;15,48%;4,11%;1;0
ICAP DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;9105360;n2;;I;3;RIO DE JANEIRO;RJ;03/2013;784.724;5.723;723.339;455.795;61.385;898;61.263;17,41%;16,03%;2;0
