Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ING;51073;b1;;C;3;SAO PAULO;SP;06/2004;5.142;0;0;181.072;0;186.214;0;0;0;0;0;0;0;254.214;440.428;84.530;353.484;878.442;0;280.444;1.158.886
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;06/2004;16.447;0;32.459;325.095;0;374.001;377.061;0;0;0;0;0;0;191.012;942.075;11;49.878;991.963;72;132.856;1.124.891
OPPORTUNITY;51107;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;9.598;0;0;0;0;9.598;963.395;0;0;0;0;0;0;0;972.993;0;27.598;1.000.590;0;118.009;1.118.600
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;06/2004;284;0;14.856;116.760;0;131.900;656.833;0;0;0;85.296;0;85.296;109.109;983.139;7.591;23.016;1.013.745;0;75.129;1.088.874
BANCO JOHN DEERE S.A.;91884981;b1;;I;3;PORTO ALEGRE;RS;06/2004;3.814;0;26.820;20.056;0;50.689;0;0;0;0;0;0;0;867.253;917.943;0;11.784;929.726;0;138.058;1.067.784
PEBB;31158;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;4;0;1.738;23.858;0;25.600;760.038;0;0;0;0;0;0;0;785.638;0;46.288;831.925;0;212.509;1.044.435
BANCO DE LAGE LANDEN FINANCIAL SERVICES BRASIL S.A.;5040481;b2;;I;3;CANOAS;RS;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;807.476;807.476;0;62.961;870.438;0;102.280;972.718
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;06/2004;172.318;164.439;18.133;226.074;109.712;690.675;74.082;0;0;0;0;0;0;13.797;778.555;0;42.974;821.528;10;106.333;927.871
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;06/2004;15.944;0;48.107;558.867;0;622.918;5.886;0;0;0;73.266;10.156;83.422;37.042;749.269;613;68.941;818.823;0;107.639;926.462
CAIXA ESTADUAL S.A. - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;571.436;571.436;376;22.445;594.258;0;310.329;904.587
BES;51482;b2;;C;3;SAO PAULO;SP;06/2004;0;0;27.880;363.343;0;391.222;100.350;0;0;0;18.687;0;18.687;0;510.259;14.668;233.898;758.825;0;81.372;840.196
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;;I;1;FLORIANOPOLIS;SC;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;487.519;487.519;0;45.760;533.279;0;279.543;812.822
